"date","high_price","low_price","closing_price","average_price","total_volume","turnover"
2024-09-02,2595.46,2578.77,2589.98,NA,1,NA
2024-08-30,2601.14,2585.62,2595.96,NA,1,NA
2024-08-29,2591.54,2564.23,2587.9,NA,1,NA
2024-08-28,2572.84,2551.79,2562.54,NA,1,NA
2024-08-27,2573.52,2553.02,2556.75,NA,1,NA
2024-08-26,2572.98,2554.71,2567.12,NA,1,NA
2024-08-23,2567.29,2536.81,2559.27,NA,1,NA
2024-08-22,2550.48,2525.32,2541.1,NA,1,NA
2024-08-21,2538.94,2514.89,2523.94,NA,1,NA
2024-08-20,2546.89,2525.17,2527.29,NA,1,NA
2024-08-19,2542.27,2533.45,2540.83,NA,1,NA
2024-08-16,2539.83,2524.67,2533.09,NA,1,NA
2024-08-15,2529.77,2495.28,2522.81,NA,1,NA
2024-08-14,2496.54,2484.79,2494.19,NA,1,NA
2024-08-13,2474.51,2453.49,2472.96,NA,1,NA
2024-08-12,2473.94,2454.89,2460.9,NA,1,NA
2024-08-09,2476.86,2447.58,2458.59,NA,1,NA
2024-08-08,2454.06,2406.12,2450.39,NA,1,NA
2024-08-07,2452.29,2416.54,2442.13,NA,1,NA
2024-08-06,2439.99,2383.66,2402.96,NA,1,NA
2024-08-05,2416.6,2356.65,2411.26,NA,1,NA
2024-07-31,2622.42,2603.71,2609.33,NA,1,NA
2024-07-30,2600.25,2585.51,2595.25,NA,1,NA
2024-07-29,2603.14,2580,2580,NA,1,NA
2024-07-26,2582.19,2553.24,2578.75,NA,1,NA
2024-07-25,2562.87,2527.78,2562.37,NA,1,NA
2024-07-24,2581.9,2564.7,2570.97,NA,1,NA
2024-07-23,2610.35,2582.68,2596.43,NA,1,NA
2024-07-22,2609.13,2577.63,2593.43,NA,1,NA
2024-07-19,2594.32,2570.63,2570.63,NA,1,NA
2024-07-18,2616.73,2584.51,2597.79,NA,1,NA
2024-07-17,2602.79,2577.74,2597.56,NA,1,NA
2024-07-16,2615.51,2592.22,2613.58,NA,1,NA
2024-07-15,2621.48,2600.24,2605.29,NA,1,NA
2024-07-12,2635.21,2582.9,2630.61,NA,1,NA
2024-07-11,2579.66,2549.33,2574.28,NA,1,NA
2024-07-10,2548.7,2528.14,2548.4,NA,1,NA
2024-07-09,2563.04,2529.59,2534.22,NA,1,NA
2024-07-08,2568.57,2547.15,2564.3,NA,1,NA
2024-07-05,2583.32,2552.07,2556.53,NA,1,NA
2024-07-04,2583.96,2566.16,2571.87,NA,1,NA
2024-07-02,2573.85,2547.14,2554.12,NA,1,NA
2024-07-01,2592.82,2570.91,2584.83,NA,1,NA
2024-06-28,2576.48,2561.14,2569.45,NA,1,NA
2024-06-27,2575.99,2557.08,2557.87,NA,1,NA
2024-06-26,2595,2562.41,2572.24,NA,1,NA
2024-06-25,2584.33,2557.76,2561.57,NA,1,NA
2024-06-24,2595.8,2549.18,2594.54,NA,1,NA
2024-06-20,2576.74,2557.96,2573.77,NA,1,NA
2024-06-19,2565.82,2554.21,2554.21,NA,1,NA
2024-06-18,2575.01,2554.02,2566.49,NA,1,NA
2024-06-17,2581.68,2548.01,2558.51,NA,1,NA
2024-06-14,2592.43,2554.78,2561.6,NA,1,NA
2024-06-13,2625.16,2586.07,2587.11,NA,1,NA
2024-06-12,2632.19,2592.83,2627.12,NA,1,NA
2024-06-11,2614.76,2574.42,2586.96,NA,1,NA
2024-06-10,2612.26,2587.36,2600.72,NA,1,NA
2024-06-07,2630.87,2605.17,2623.59,NA,1,NA
2024-06-05,2614.02,2598,2609.72,NA,1,NA
2024-06-04,2608.22,2582.06,2587.7,NA,1,NA
2024-06-03,2636.26,2606.17,2612.02,NA,1,NA
2024-05-31,2606.18,2584.64,2604.1,NA,1,NA
2024-05-30,2595.3,2574.69,2593.07,NA,1,NA
2024-05-29,2613.37,2582.95,2583.5,NA,1,NA
2024-05-28,2637.04,2605.3,2616.29,NA,1,NA
2024-05-27,2631.13,2617.91,2630.3,NA,1,NA
2024-05-24,2626.39,2607.7,2624.5,NA,1,NA
