date,bid,ask,open,high,low,close,average,total_volume,turnover,trades
2024-09-24,,,2603.78,2608.84,2577.55,2590.01,,1,,0.0
2024-09-23,,,2578.69,2591.99,2563.66,2583.85,,1,,0.0
2024-09-20,,,2588.18,2595.6,2574.02,2579.15,,1,,0.0
2024-09-19,,,2569.27,2600.75,2565.71,2592.91,,1,,0.0
2024-09-18,,,2555.2,2555.21,2536.5,2544.25,,1,,0.0
2024-09-17,,,2538.2,2561.46,2537.84,2555.9,,1,,0.0
2024-09-16,,,2516.73,2534.58,2514.69,2529.75,,1,,0.0
2024-09-13,,,2513.73,2528.71,2513.08,2525.18,,1,,0.0
2024-09-12,,,2523.25,2537.73,2499.88,2510.54,,1,,0.0
2024-09-11,,,2499.91,2515.34,2482.0,2489.95,,1,,0.0
2024-09-10,,,2504.9,2521.74,2489.79,2495.76,,1,,0.0
2024-09-09,,,2495.78,2517.43,2495.69,2511.44,,1,,0.0
2024-09-06,,,2494.99,2516.08,2478.33,2480.99,,1,,0.0
2024-09-05,,,2523.2,2532.05,2505.43,2509.3,,1,,0.0
2024-09-04,,,2523.31,2544.27,2521.95,2531.72,,1,,0.0
2024-09-03,,,2591.55,2598.92,2562.19,2565.78,,1,,0.0
2024-09-02,,,2595.27,2595.46,2578.77,2589.98,,1,,0.0
2024-08-30,,,2589.27,2601.14,2585.62,2595.96,,1,,0.0
2024-08-29,,,2564.89,2591.54,2564.23,2587.9,,1,,0.0
2024-08-28,,,2559.09,2572.84,2551.79,2562.54,,1,,0.0
2024-08-27,,,2569.54,2573.52,2553.02,2556.75,,1,,0.0
2024-08-26,,,2557.38,2572.98,2554.71,2567.12,,1,,0.0
2024-08-23,,,2541.57,2567.29,2536.81,2559.27,,1,,0.0
2024-08-22,,,2526.11,2550.48,2525.32,2541.1,,1,,0.0
2024-08-21,,,2527.55,2538.94,2514.89,2523.94,,1,,0.0
2024-08-20,,,2545.9,2546.89,2525.17,2527.29,,1,,0.0
2024-08-19,,,2534.4,2542.27,2533.45,2540.83,,1,,0.0
2024-08-16,,,2528.71,2539.83,2524.67,2533.09,,1,,0.0
2024-08-15,,,2504.66,2529.77,2495.28,2522.81,,1,,0.0
2024-08-14,,,2488.11,2496.54,2484.79,2494.19,,1,,0.0
2024-08-13,,,2471.61,2474.51,2453.49,2472.96,,1,,0.0
2024-08-12,,,2469.4,2473.94,2454.89,2460.9,,1,,0.0
2024-08-09,,,2456.27,2476.86,2447.58,2458.59,,1,,0.0
2024-08-08,,,2424.38,2454.06,2406.12,2450.39,,1,,0.0
2024-08-07,,,2418.83,2452.29,2416.54,2442.13,,1,,0.0
2024-08-06,,,2434.21,2439.99,2383.66,2402.96,,1,,0.0
2024-08-05,,,2388.38,2416.6,2356.65,2411.26,,1,,0.0
2024-07-31,,,2614.84,2622.42,2603.71,2609.33,,1,,0.0
2024-07-30,,,2585.98,2600.25,2585.51,2595.25,,1,,0.0
2024-07-29,,,2590.87,2603.14,2580.0,2580.0,,1,,0.0
2024-07-26,,,2553.56,2582.19,2553.24,2578.75,,1,,0.0
2024-07-25,,,2548.74,2562.87,2527.78,2562.37,,1,,0.0
2024-07-24,,,2579.57,2581.9,2564.7,2570.97,,1,,0.0
2024-07-23,,,2602.17,2610.35,2582.68,2596.43,,1,,0.0
2024-07-22,,,2579.67,2609.13,2577.63,2593.43,,1,,0.0
2024-07-19,,,2592.04,2594.32,2570.63,2570.63,,1,,0.0
2024-07-18,,,2611.04,2616.73,2584.51,2597.79,,1,,0.0
2024-07-17,,,2600.32,2602.79,2577.74,2597.56,,1,,0.0
2024-07-16,,,2599.09,2615.51,2592.22,2613.58,,1,,0.0
2024-07-15,,,2619.22,2621.48,2600.24,2605.29,,1,,0.0
2024-07-12,,,2582.9,2635.21,2582.9,2630.61,,1,,0.0
2024-07-11,,,2559.49,2579.66,2549.33,2574.28,,1,,0.0
2024-07-10,,,2539.83,2548.7,2528.14,2548.4,,1,,0.0
2024-07-09,,,2562.11,2563.04,2529.59,2534.22,,1,,0.0
2024-07-08,,,2553.73,2568.57,2547.15,2564.3,,1,,0.0
2024-07-05,,,2575.92,2583.32,2552.07,2556.53,,1,,0.0
2024-07-04,,,2569.91,2583.96,2566.16,2571.87,,1,,0.0
2024-07-02,,,2573.85,2573.85,2547.14,2554.12,,1,,0.0
2024-07-01,,,2591.32,2592.82,2570.91,2584.83,,1,,0.0
2024-06-28,,,2572.3,2576.48,2561.14,2569.45,,1,,0.0
2024-06-27,,,2571.27,2575.99,2557.08,2557.87,,1,,0.0
2024-06-26,,,2577.26,2595.0,2562.41,2572.24,,1,,0.0
2024-06-25,,,2583.94,2584.33,2557.76,2561.57,,1,,0.0
2024-06-24,,,2551.73,2595.8,2549.18,2594.54,,1,,0.0
2024-06-20,,,2558.76,2576.74,2557.96,2573.77,,1,,0.0
2024-06-19,,,2565.82,2565.82,2554.21,2554.21,,1,,0.0
2024-06-18,,,2573.97,2575.01,2554.02,2566.49,,1,,0.0
2024-06-17,,,2572.06,2581.68,2548.01,2558.51,,1,,0.0
2024-06-14,,,2592.23,2592.43,2554.78,2561.6,,1,,0.0
2024-06-13,,,2624.83,2625.16,2586.07,2587.11,,1,,0.0
2024-06-12,,,2593.91,2632.19,2592.83,2627.12,,1,,0.0
2024-06-11,,,2607.35,2614.76,2574.42,2586.96,,1,,0.0
2024-06-10,,,2609.91,2612.26,2587.36,2600.72,,1,,0.0
2024-06-07,,,2620.95,2630.87,2605.17,2623.59,,1,,0.0
2024-06-05,,,2600.91,2614.02,2598.0,2609.72,,1,,0.0
2024-06-04,,,2607.22,2608.22,2582.06,2587.7,,1,,0.0
2024-06-03,,,2627.47,2636.26,2606.17,2612.02,,1,,0.0
2024-05-31,,,2595.04,2606.18,2584.64,2604.1,,1,,0.0
2024-05-30,,,2578.45,2595.3,2574.69,2593.07,,1,,0.0
2024-05-29,,,2610.85,2613.37,2582.95,2583.5,,1,,0.0
2024-05-28,,,2632.91,2637.04,2605.3,2616.29,,1,,0.0
2024-05-27,,,2622.99,2631.13,2617.91,2630.3,,1,,0.0
